"NAME";"ID";"LATITUDE";"LONGITUDE"
"K9400-01";260602;50.8347206116;4.0155525208
"K9400-01";260603;50.8321838379;4.023724556
"K9400-01";279912;50.8355827332;4.0239048004
"K9400-01";289273;50.8357620239;4.0201306343
"K9400-01";289295;50.8348731995;4.0218577385
"K9400-01";260637;50.8354225159;4.0175871849
"K9400-01";150044;50.8315734863;4.0152740479
"K9400-01";231553;50.8294067383;4.0211143494
"K9400-01";281895;50.8274040222;4.0214214325
"K9400-01";278498;50.8267631531;4.0187425613
"K9400-01";42116;50.8343772888;4.0132436752
"K9400-01";78615;50.8366661072;4.0151100159
"K9400-01";5349;50.83436203;4.0118222237
"K9400-01";22125;50.8357582092;4.0158791542
"K9400-01";69545;50.8331565857;4.013428688
"K9400-01";231574;50.8333053589;4.0213432312
"K9400-01";102800;50.8364830017;4.018866539
"K9400-01";144568;50.8370704651;4.0199117661
"K9400-01";155637;50.834400177;4.0126786232
"K9400-01";231554;50.8274040222;4.0214214325
"K9400-01";182481;50.8341064453;4.0270166397
"K9400-01";182964;50.8346481323;4.0154194832
"K9400-01";231555;50.8317146301;4.0232424736
"K9400-01";72960;50.8279190063;4.0227627754
"K9400-01";179154;50.8365783691;4.0197534561
"K9400-01";179195;50.8357810974;4.0138306618
"K9400-01";182752;50.8362159729;4.0259327888
"K9400-01";89606;50.8345718384;4.0152397156
"K9400-01";115534;50.8318862915;4.0236816406
"K9400-01";134180;50.8350410461;4.0152449608
"K9400-01";241296;50.8346710205;4.0158190727
"K9400-01";25088;50.8328094482;4.0152406693
"K9400-01";63576;50.8274040222;4.0214214325
"K9400-01";23941;50.8362197876;4.0210633278
"K9400-01";40177;50.8329048157;4.0126185417
"K9400-01";116850;50.8368110657;4.0175118446
"K9400-01";231585;50.8332557678;4.0194764137
"K9400-01";188507;50.83360672;4.0135149956
"K9400-01";96887;50.831993103;4.0236711502
"K9400-01";258467;50.8366088867;4.0147504807
"K9400-01";231558;50.8290214539;4.0241384506
"K9400-01";231559;50.828792572;4.0191278458
"K9400-01";231586;50.8345718384;4.02242136
"K9400-01";231575;50.8348846436;4.0123167038
"K9400-01";92907;50.8356018066;4.0188765526
"K9400-01";231551;50.833568573;4.0134177208
"K9400-01";231588;50.8266525269;4.0177469254
"K9400-01";105390;50.8369255066;4.0222563744
"K9400-01";62434;50.8326797485;4.0250668526
"K9400-01";231568;50.8336486816;4.0200648308
"K9400-01";231560;50.8308563232;4.0231533051
"K9400-01";231561;50.8283119202;4.0215110779
"K9400-01";38419;50.8346252441;4.0196475983
"K9400-01";11170;50.8338737488;4.012362957
"K9400-01";231573;50.8310470581;4.0213871002
"K9400-01";93673;50.8356971741;4.0194816589
"K9400-01";71179;50.833984375;4.0144147873
"K9400-01";71958;50.8357620239;4.0201306343
"K9400-01";107494;50.8359947205;4.0194058418
"K9400-01";5357;50.8356018066;4.0188765526
"K9400-01";9813;50.8339614868;4.0122652054
"K9400-01";189873;50.8357620239;4.0201306343
"K9400-01";63756;50.834312439;4.0216360092
"K9400-01";265866;50.8344497681;4.0117292404
"K9400-01";271840;50.8347969055;4.0139575005
"K9400-01";49762;50.8319168091;4.0229463577
"K9400-01";23104;50.8361625671;4.021510601
"K9400-01";231646;50.8356971741;4.0194816589
"K9400-01";261308;50.8277511597;4.0207877159
"K9400-01";76543;50.8319168091;4.0229463577
"K9400-01";299800;50.8361625671;4.021510601
"K9400-01";294299;50.8357391357;4.0137629509
"K9400-01";294500;50.8338623047;4.0212626457
"K9400-01";299020;50.8269309998;4.0189332962
"K9400-01";302128;50.8346252441;4.0196475983
"K9400-01";188356;50.8364830017;4.018866539
"K9400-01";304710;50.8274040222;4.0214214325
"K9400-01";304730;50.8356018066;4.0188765526
"K9400-01";239408;50.8370895386;4.0209283829
"K9400-01";175021;50.832736969;4.0127310753
"K9400-01";331569;50.836555481;4.0168733597
"K9400-01";318465;50.8321876526;4.0231437683
"K9400-01";332277;50.8356971741;4.0169482231
"K9400-01";319663;50.8278579712;4.0225815773
"K9400-01";332590;50.8336372375;4.0220389366
"K9400-01";332709;50.8336372375;4.0220389366
"K9400-01";324063;50.836353302;4.0179958344
"K9400-01";332276;50.8282432556;4.0206823349
"K9400-01";329329;50.8365783691;4.0197534561
"K9400-01";323002;50.8341293335;4.0147500038
"K9400-01";330102;50.8328094482;4.0152406693
"K9400-01";330185;50.8353157043;4.0210752487
"K9400-01";353250;50.8337783813;4.0209732056
"K9400-01";156039;50.8335266113;4.0194644928
"K9400-01";357562;50.8321495056;4.013053894
"K9400-01";349679;50.8356018066;4.0188765526
"K9400-01";336699;50.8328094482;4.0152406693
"K9400-01";334058;50.831287384;4.0215682983
"K9400-01";357403;50.8346252441;4.0196475983
"K9400-01";353634;50.8315925598;4.0220022202
"K9400-01";336182;50.8370895386;4.0209283829
"K9400-01";360303;50.8327598572;4.0199961662
"K9400-01";359533;50.8366394043;4.0185117722
"K9400-01";302114;50.8370895386;4.0209283829
"K9400-01";95795;50.8332099915;4.0210447311
"K9400-01";254611;50.832824707;4.015232563
"K9400-01";183882;50.8347206116;4.015900135
"K9400-01";183883;50.8347206116;4.015900135
"K9400-01";183672;50.8364830017;4.018866539
"K9400-01";183673;50.8364830017;4.018866539
"K9400-01";262006;50.8362960815;4.014354229
"K9400-01";262007;50.8364715576;4.0141596794
"K9400-01";262008;50.8373680115;4.0163655281
"K9400-01";129759;50.8342666626;4.0215072632
"K9400-01";185382;50.8313598633;4.0177545547
"K9400-01";64827;50.8293838501;4.0210213661
"K9400-01";119313;50.833568573;4.0134177208
"K9400-01";121391;50.8346252441;4.0196475983
"K9400-01";121380;50.8320808411;4.0227632523
"K9400-01";264629;50.8323020935;4.0296740532
"K9400-01";168118;50.8342704773;4.0126628876
"K9400-01";168156;50.8342170715;4.0149564743
"K9400-01";236755;50.8287467957;4.0244908333
"K9400-01";288268;50.8332557678;4.0194764137
"K9400-01";288270;50.8367118835;4.0195755959
"K9400-01";288279;50.8329849243;4.0196285248
"K9400-01";278188;50.8373947144;4.0222883224
"K9400-01";277152;50.8271827698;4.0174937248
"K9400-01";277282;50.8356971741;4.0194816589
"K9400-01";285671;50.827129364;4.0173010826
"K9400-01";285672;50.8267631531;4.0187425613
"K9400-01";260015;50.8336486816;4.0200648308
"K9400-01";281267;50.8356018066;4.0188765526
"K9400-01";281302;50.8274040222;4.0214214325
"K9400-01";163928;50.8356704712;4.0136213303
"K9400-01";284822;50.8337173462;4.0228738785
"K9400-01";284823;50.8334655762;4.0213956833
"K9400-01";284868;50.8277244568;4.0218696594
"K9400-01";290602;50.8337135315;4.0119333267
"K9400-01";290603;50.8337440491;4.01385355
"K9400-01";54594;50.8281364441;4.0207881927
"K9400-01";178640;50.8335266113;4.0194644928
"K9400-01";251778;50.8359947205;4.0194058418
"K9400-01";98714;50.8330345154;4.0205073357
"K9400-01";98587;50.828250885;4.0241355896
"K9400-01";228595;50.831287384;4.0215682983
"K9400-01";100610;50.8328361511;4.0217466354
"K9400-01";181246;50.8363113403;4.017604351
"K9400-01";181422;50.8364524841;4.0210723877
"K9400-01";34992;50.8335647583;4.0242304802
"K9400-01";97329;50.8362159729;4.0259327888
"K9400-01";97133;50.8379173279;4.0225424767
"K9400-01";121888;50.8347434998;4.0143990517
"K9400-01";118068;50.8356971741;4.0194816589
"K9400-01";96369;50.8292579651;4.0225272179
"K9400-01";81462;50.8367919922;4.0177640915
"K9400-01";94189;50.8328094482;4.0152406693
"K9400-01";135940;50.8351554871;4.0212521553
"K9400-01";273345;50.8271713257;4.0202078819
"K9400-01";272836;50.8346214294;4.022611618
"K9400-01";272402;50.8355522156;4.0134096146
"K9400-01";265311;50.8349075317;4.0124607086
"K9400-01";274144;50.8350067139;4.0124511719
"K9400-01";40900;50.8358612061;4.0140109062
"K9400-01";302409;50.8335266113;4.0194644928
"K9400-01";291927;50.8327064514;4.019803524
"K9400-01";294769;50.8337554932;4.0207834244
"K9400-01";305067;50.833190918;4.0208854675
"K9400-01";308468;50.8327064514;4.0239138603
"K9400-01";308469;50.827507019;4.019215107
"K9400-01";296961;50.8347892761;4.0259566307
"K9400-01";312902;50.8335151672;4.0246372223
"K9400-01";312766;50.8351364136;4.0234675407
"K9400-01";123199;50.8289299011;4.0227804184
"K9400-01";322507;50.8319168091;4.0229463577
"K9400-01";320587;50.8350715637;4.027639389
"K9400-01";327618;50.8340148926;4.0216059685
"K9400-01";314947;50.8361167908;4.0224952698
"K9400-01";313716;50.8335647583;4.0242304802
"K9400-01";321412;50.8327064514;4.019803524
"K9400-01";326272;50.8365783691;4.0197534561
"K9400-01";241145;50.8305854797;4.0222234726
"K9400-01";350823;50.8368835449;4.0193276405
"K9400-01";350473;50.8354492188;4.0152430534
"K9400-01";351100;50.8335266113;4.0194644928
"K9400-01";344470;50.836517334;4.0208396912
"K9400-01";325254;50.8340530396;4.0268878937
"K9400-01";53916;50.8348731995;4.0218577385
